Date	Time	Step	Mass (g)	Uair (kPa)
7/24/2019	3:51:26 PM	Large increment	19.495239291666667	290.0
7/24/2019	3:53:56 PM	Large increment	19.58540022916667	290.0
7/24/2019	3:56:56 PM	Large increment	19.68559335416667	290.0
7/24/2019	3:59:56 PM	Large increment	19.785786479166667	290.0
7/24/2019	4:02:56 PM	Large increment	19.87597960416667	290.0
7/24/2019	4:05:57 PM	Large increment	19.976173802083338	290.0
7/24/2019	4:09:27 PM	Large increment	20.076399114583335	290.0
7/24/2019	4:12:57 PM	Large increment	20.166624427083335	290.0
7/24/2019	4:16:28 PM	Large increment	20.266850812500003	290.0
7/24/2019	4:20:28 PM	Large increment	20.367108312500005	290.0
7/24/2019	4:24:28 PM	Large increment	20.457365812500004	290.0
7/24/2019	4:28:29 PM	Large increment	20.54762438541667	290.0
7/24/2019	4:32:59 PM	Large increment	20.647914072916667	290.0
7/24/2019	4:37:29 PM	Large increment	20.738203760416667	290.0
7/24/2019	4:42:30 PM	Large increment	20.828526708333335	290.0
7/24/2019	4:47:00 PM	Large increment	20.918816395833336	290.0
7/24/2019	4:52:31 PM	Large increment	21.00917153125	290.0
7/24/2019	4:58:01 PM	Large increment	21.099525593750002	290.0
7/24/2019	5:03:32 PM	Large increment	21.18988072916667	290.0
7/24/2019	5:10:02 PM	Large increment	21.28029916666667	290.0
7/24/2019	5:16:03 PM	Large increment	21.37068648958334	290.0
7/24/2019	5:26:03 PM	Large increment	21.501330239583336	290.0
7/24/2019	5:36:03 PM	Large increment	21.62197398958334	290.0
7/24/2019	5:46:04 PM	Large increment	21.732618812500004	290.0
7/24/2019	5:56:04 PM	Large increment	21.8432625625	290.0
7/24/2019	6:06:04 PM	Large increment	21.933906312500003	290.0
7/24/2019	6:16:04 PM	Large increment	22.034550062500003	290.0
7/24/2019	6:31:04 PM	Large increment	22.1555156875	290.0
7/24/2019	6:46:04 PM	Large increment	22.276481312500003	290.0
7/24/2019	7:01:05 PM	Large increment	22.37744801041667	290.0
7/24/2019	7:16:05 PM	Large increment	22.47841363541667	290.0
7/24/2019	7:31:05 PM	Large increment	22.569379260416667	290.0
7/24/2019	7:46:05 PM	Large increment	22.660344885416666	290.0
7/24/2019	8:06:05 PM	Large increment	22.761632385416668	290.0
7/24/2019	8:26:06 PM	Large increment	22.852920958333335	290.0
7/24/2019	8:46:06 PM	Large increment	22.944208458333335	290.0
7/24/2019	9:11:07 PM	Large increment	23.045818906250002	290.0
7/24/2019	9:36:07 PM	Large increment	23.137428281250003	290.0
7/24/2019	10:06:07 PM	Large increment	23.239359531250003	290.0
7/24/2019	10:36:08 PM	Large increment	23.33129185416667	290.0
7/24/2019	11:11:08 PM	Large increment	23.423544979166667	290.0
7/24/2019	11:46:09 PM	Large increment	23.515799177083334	290.0
7/25/2019	12:31:10 AM	Large increment	23.608697125	290.0
7/25/2019	1:16:11 AM	Large increment	23.701595072916668	290.0
7/25/2019	2:06:12 AM	Large increment	23.794814895833333	290.0
7/25/2019	3:06:12 AM	Large increment	23.888677395833334	290.0
7/25/2019	4:11:13 AM	Large increment	23.982862843750002	290.0
7/25/2019	5:26:14 AM	Large increment	24.07769204166667	290.0
7/25/2019	6:51:15 AM	Large increment	24.173164989583338	290.0
7/25/2019	8:21:16 AM	Large increment	24.268959812500004	290.0
7/25/2019	10:06:18 AM	Large increment	24.365721333333337	290.0
7/25/2019	11:51:20 AM	Large increment	24.46248285416667	290.0
7/25/2019	1:56:22 PM	Large increment	24.560531875000002	290.0
7/25/2019	4:01:24 PM	Large increment	24.658580895833335	290.0
7/25/2019	6:11:26 PM	Large increment	24.746951791666667	290.0
7/25/2019	8:21:29 PM	Large increment	24.84532376041667	290.0
7/25/2019	10:46:31 PM	Large increment	24.934660281250004	290.0
7/26/2019	1:06:34 AM	Large increment	25.023676000000002	290.0
7/26/2019	3:16:37 AM	Large increment	25.11204796875	290.0
7/26/2019	3:51:38 AM	Large increment	25.20430216666667	290.0
