,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-05-25,75.685,74.943,75.359,74.714,74.024,75.737,79.115,75.951,75.677,72.377,69.135,62.485,53.703,46.515,45.831,41.516,40.961,42.598,43.275,47.666,62.281,62.185,63.724,66.27
1,2018-05-26,68.812,71.08,72.503,73.195,74.297,75.629,80.713,64.183,66.41,63.241,55.691,49.465,41.884,37.095,32.527,31.33,29.266,32.095,33.741,38.322,46.824,50.477,54.433,58.73
2,2018-05-27,60.774,62.037,64.16,65.992,69.618,70.734,81.822,72.89,64.728,57.96,46.843,45.191,37.875,33.224,32.905,33.814,36.871,38.468,39.368,43.987,54.522,58.191,61.133,62.524
3,2018-05-28,65.394,68.11,67.9,72.241,74.465,77.082,85.938,76.766,58.389,50.675,41.346,35.199,31.366,29.255,31.769,33.388,31.16,33.672,39.702,48.977,53.577,59.223,59.636,63.64
4,2018-05-29,69.126,64.168,67.898,70.514,75.544,73.8,76.69,74.322,69.046,53.177,40.916,39.93,36.945,40.759,75.054,84.748,82.104,59.581,69.837,81.622,80.635,78.468,83.716,84.098
