,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-05-25,26.155,26.015,25.936,26.011,26.094,25.412,20.643,20.712,21.951,23.271,24.039,26.89,31.426,35.342,35.962,36.749,36.408,35.144,34.793,33.607,31.726,30.428,29.53,28.572
1,2018-05-26,27.663,26.834,26.265,25.703,25.443,25.243,22.418,27.693,28.353,31.002,34.169,36.28,38.696,39.549,40.296,40.458,39.87,38.7,37.081,34.712,34.179,32.826,31.912,31.028
2,2018-05-27,30.367,29.642,28.823,28.184,27.716,27.106,22.102,25.39,28.57,31.233,35.74,36.123,37.747,39.809,37.635,39.061,37.419,36.702,35.73,33.708,33.372,32.305,31.867,31.668
3,2018-05-28,30.827,29.149,29.182,27.599,26.267,24.929,21.443,25.524,31.298,34.302,37.257,38.046,39.286,39.095,37.77,37.343,37.89,35.399,33.576,31.122,33.781,31.704,30.478,28.792
4,2018-05-29,27.388,26.669,25.175,25.322,24.347,24.945,20.423,21.295,22.491,29.67,35.309,35.777,39.164,36.754,26.192,23.512,23.505,28.518,25.47,24.701,27.128,23.249,21.734,21.738
