,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-05-25,77.469,75.995,75.335,74.006,70.14,73.616,71.034,64.391,64.887,60.634,57.427,52.575,48.736,40.748,36.177,32.216,29.167,29.195,30.931,31.798,41.33,50.565,55.69,60.148
1,2018-05-26,63.582,66.776,68.431,68.257,69.333,74.595,74.215,64.046,56.13,51.147,46.083,41.435,36.035,29.784,25.808,22.413,17.652,22.837,26.248,27.841,37.992,43.257,49.598,56.015
2,2018-05-27,57.225,58.383,61.503,64.274,71.552,72.938,76.064,59.527,52.049,46.923,38.176,36.589,31.514,26.281,28.235,28.944,30.804,29.399,28.417,28.414,43.825,56.223,62.698,64.068
3,2018-05-28,68.704,74.242,67.283,77.526,82.364,84.345,84.453,67.641,51.076,43.531,37.934,33.087,29.503,26.369,28.399,28.959,24.992,26.547,32.317,39.98,48.961,56.4,55.71,60.363
4,2018-05-29,64.113,61.899,67.008,68.928,74.881,73.703,69.682,66.517,60.051,48.236,38.909,36.816,35.642,38.424,71.105,77.103,74.394,49.956,60.052,70.37,76.903,78.877,85.875,86.357
