,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-05-25,20.188,20.597,20.279,20.297,20.208,19.347,19.802,20.736,21.648,23.283,24.679,26.421,29.309,33.122,34.911,36.389,37.728,37.544,36.754,34.847,30.013,27.454,25.77,24.516
1,2018-05-26,24.051,23.199,22.723,22.435,21.941,20.59,20.871,24.15,27.448,30.031,32.406,34.194,36.482,38.527,39.537,40.406,41.406,40.321,37.989,35.845,30.863,29.031,27.877,26.538
2,2018-05-27,25.983,25.272,24.334,23.474,21.565,20.982,20.586,25.906,28.727,30.947,34.305,34.793,36.705,39.101,37.028,38.697,37.592,38.107,37.936,37.537,29.963,26.097,25.324,25.723
3,2018-05-28,24.305,22.646,24.324,20.994,19.428,18.389,19.276,25.097,29.839,33.615,34.947,35.746,36.994,37.506,36.867,36.893,38.549,36.592,34.838,31.263,28.454,26.18,25.169,23.042
4,2018-05-29,22.276,22.118,19.94,19.402,18.215,18.564,19.343,20.746,22.299,27.128,31.132,33.599,35.708,34.688,24.439,22.867,22.703,28.946,25.48,23.678,22.074,19.041,16.875,16.992
5,2018-05-30,17.01,16.71,16.68,16.24,15.596,14.949,15.167,19.176,21.956,24.683,26.666,27.968,29.187,30.562,31.562,32.602,32.424,32.729,32.624,31.397,28.222,24.646,23.017,22.912
6,2018-05-31,20.589,19.39,19.305,19.442,20.013,19.321,21.207,24.207,27.046,27.352,25.59,29.48,30.945,30.331,32.646,34.898,36.771,38.331,38.691,37.839,29.256,23.177,21.4,20.229
