,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-05-25,0.823,0.844,0.824,0.85,0.878,0.788,0.51,0.588,0.648,0.79,0.938,1.33,2.158,3.064,3.213,3.62,3.593,3.253,3.153,2.717,1.766,1.643,1.497,1.318
1,2018-05-26,1.155,1.021,0.938,0.886,0.836,0.783,0.538,1.342,1.298,1.654,2.39,3.057,4.001,4.535,5.061,5.195,5.183,4.68,4.178,3.421,2.86,2.466,2.155,1.857
2,2018-05-27,1.699,1.578,1.421,1.3,1.128,1.05,0.488,0.885,1.387,1.938,3.132,3.294,4.064,4.881,4.358,4.648,4.058,3.799,3.551,2.934,2.337,2.022,1.834,1.749
3,2018-05-28,1.54,1.288,1.298,1.03,0.873,0.723,0.365,0.771,1.932,2.678,3.735,4.305,4.877,4.975,4.466,4.269,4.537,3.827,3.133,2.315,2.438,1.909,1.76,1.445
4,2018-05-29,1.127,1.25,1.027,0.952,0.746,0.828,0.565,0.652,0.848,2.078,3.421,3.559,4.457,3.754,0.867,0.443,0.517,1.66,0.99,0.572,0.696,0.625,0.423,0.414
