 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  47    -3.3499       3.250 0.3748   0.8000E-04  0.0000E+00  0.1325E-08  0.0000E+00      -1   0.166E-04   20.00
  48    -3.3630       3.263 0.3400   0.5800E-07  0.0000E+00 -0.2705E-09  0.0000E+00      -1  -0.338E-05   20.00
  49    -3.4910       3.391 0.3400   0.5800E-07  0.0000E+00  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  50    -3.6190       3.519 0.3400   0.5800E-07  0.0000E+00  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  51    -3.7470       3.647 0.3400   0.5800E-07  0.0000E+00  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
end


 Time:    51979.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -743.294 0.1557   0.1433E-07  0.7405E-04  0.2501E-11  0.0000E+00      -1   0.313E-07   20.00
   2    -0.1300    -743.568 0.1556   0.1430E-07  0.7400E-04 -0.8809E-07  0.0000E+00      -1  -0.110E-02   20.00
   3    -0.2574    -744.626 0.1555   0.1419E-07  0.7379E-04 -0.1756E-06  0.0000E+00      -1  -0.220E-02   20.00
   4    -0.3824    -746.446 0.1554   0.1402E-07  0.7343E-04 -0.2621E-06  0.0000E+00      -1  -0.328E-02   20.00
   5    -0.5047    -749.016 0.1552   0.1376E-07  0.7292E-04 -0.3479E-06  0.0000E+00      -1  -0.435E-02   20.00
   6    -0.6246    -752.342 0.1549   0.1343E-07  0.7227E-04 -0.4332E-06  0.0000E+00      -1  -0.542E-02   20.00
   7    -0.7418    -756.446 0.1546   0.1303E-07  0.7146E-04 -0.5186E-06  0.0000E+00      -1  -0.648E-02   20.00
   8    -0.8566    -761.374 0.1542   0.1254E-07  0.7049E-04 -0.6046E-06  0.0000E+00      -1  -0.756E-02   20.00
   9    -0.9688    -767.196 0.1537   0.1197E-07  0.6934E-04 -0.6919E-06  0.0000E+00      -1  -0.865E-02   20.00
  10    -1.0785    -774.029 0.1531   0.1130E-07  0.6799E-04 -0.7813E-06  0.0000E+00      -1  -0.977E-02   20.00
