 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      451  0.1063580E+06  0.60000E+03    2     1087    -4     3     T
      452  0.1069580E+06  0.60000E+03    2     1089    -4     3     T
      453  0.1075580E+06  0.60000E+03    2     1091    -4     3     T
      454  0.1081580E+06  0.60000E+03    2     1093    -4     3     T
      455  0.1087580E+06  0.60000E+03    2     1095    -4     3     T
      456  0.1093580E+06  0.60000E+03    2     1097    -4     3     T
      457  0.1099580E+06  0.60000E+03    2     1099    -4     3     T
      458  0.1102900E+06  0.33200E+03    2     1101    -4     3     T
      459  0.1106220E+06  0.33200E+03    2     1103    -4     3     T
      460  0.1112220E+06  0.60000E+03    2     1105    -4     3     T
      461  0.1118220E+06  0.60000E+03    2     1107    -4     3     T
      462  0.1124220E+06  0.60000E+03    2     1109    -4     3     T
      463  0.1130220E+06  0.60000E+03    2     1111    -4     3     T
      464  0.1135922E+06  0.57020E+03    2     1113    -4     3     T
      465  0.1141624E+06  0.57020E+03    2     1115    -4     3     T
      466  0.1147326E+06  0.57020E+03    2     1117    -4     3     T
      467  0.1153028E+06  0.57020E+03    2     1119    -4     3     T
      468  0.1158730E+06  0.57020E+03    2     1121    -4     3     T
      469  0.1164432E+06  0.57020E+03    2     1123    -4     3     T
      470  0.1170134E+06  0.57020E+03    2     1125    -4     3     T
      471  0.1175836E+06  0.57020E+03    2     1127    -4     3     T
      472  0.1181538E+06  0.57020E+03    2     1129    -4     3     T
      473  0.1187240E+06  0.57020E+03    2     1131    -4     3     T
      474  0.1193240E+06  0.60000E+03    2     1133    -4     3     T
      475  0.1199240E+06  0.60000E+03    2     1135    -4     3     T
      476  0.1205240E+06  0.60000E+03    2     1137    -4     3     T
      477  0.1211240E+06  0.60000E+03    2     1139    -4     3     T
      478  0.1217240E+06  0.60000E+03    2     1141    -4     3     T
      479  0.1223240E+06  0.60000E+03    2     1143    -4     3     T
      480  0.1229240E+06  0.60000E+03    2     1145    -4     3     T
      481  0.1235240E+06  0.60000E+03    2     1147    -4     3     T
      482  0.1241240E+06  0.60000E+03    2     1149    -4     3     T
      483  0.1247240E+06  0.60000E+03    2     1151    -4     3     T
      484  0.1253240E+06  0.60000E+03    2     1153    -4     3     T
      485  0.1259240E+06  0.60000E+03    2     1155    -4     3     T
      486  0.1262255E+06  0.30150E+03    2     1157    -4     3     T
      487  0.1265270E+06  0.30150E+03    2     1159    -4     3     T
      488  0.1271270E+06  0.60000E+03    2     1161    -4     3     T
      489  0.1277270E+06  0.60000E+03    2     1163    -4     3     T
      490  0.1283270E+06  0.60000E+03    2     1165    -4     3     T
      491  0.1289270E+06  0.60000E+03    2     1167    -4     3     T
      492  0.1295270E+06  0.60000E+03    2     1169    -4     3     T
      493  0.1301270E+06  0.60000E+03    2     1171    -4     3     T
      494  0.1307270E+06  0.60000E+03    2     1173    -4     3     T
      495  0.1313270E+06  0.60000E+03    2     1175    -4     3     T
      496  0.1319270E+06  0.60000E+03    2     1177    -4     3     T
      497  0.1325270E+06  0.60000E+03    2     1179    -4     3     T
      498  0.1331270E+06  0.60000E+03    2     1181    -4     3     T
      499  0.1337270E+06  0.60000E+03    2     1183    -4     3     T
      500  0.1343270E+06  0.60000E+03    2     1185    -4     3     T
      501  0.1346280E+06  0.30100E+03    2     1187    -4     3     T
      502  0.1349290E+06  0.30100E+03    2     1189    -4     3     T
      503  0.1355290E+06  0.60000E+03    2     1191    -4     3     T
      504  0.1361290E+06  0.60000E+03    2     1193    -4     3     T
      505  0.1367290E+06  0.60000E+03    2     1195    -4     3     T
      506  0.1373290E+06  0.60000E+03    2     1197    -4     3     T
      507  0.1379290E+06  0.60000E+03    2     1199    -4     3     T
      508  0.1385290E+06  0.60000E+03    2     1201    -4     3     T
      509  0.1391290E+06  0.60000E+03    2     1203    -4     3     T
      510  0.1397290E+06  0.60000E+03    2     1205    -4     3     T
      511  0.1403290E+06  0.60000E+03    2     1207    -4     3     T
      512  0.1409290E+06  0.60000E+03    2     1209    -4     3     T
      513  0.1415290E+06  0.60000E+03    2     1211    -4     3     T
      514  0.1421290E+06  0.60000E+03    2     1213    -4     3     T
      515  0.1427290E+06  0.60000E+03    2     1215    -4     3     T
      516  0.1430305E+06  0.30150E+03    2     1217    -4     3     T
      517  0.1433320E+06  0.30150E+03    2     1219    -4     3     T
      518  0.1439320E+06  0.60000E+03    2     1221    -4     3     T
      519  0.1445320E+06  0.60000E+03    2     1223    -4     3     T
      520  0.1451320E+06  0.60000E+03    2     1225    -4     3     T
      521  0.1457320E+06  0.60000E+03    2     1227    -4     3     T
      522  0.1463023E+06  0.57030E+03    2     1229    -4     3     T
      523  0.1468726E+06  0.57030E+03    2     1231    -4     3     T
      524  0.1474429E+06  0.57030E+03    2     1233    -4     3     T
      525  0.1480132E+06  0.57030E+03    2     1235    -4     3     T
      526  0.1485835E+06  0.57030E+03    2     1237    -4     3     T
      527  0.1491538E+06  0.57030E+03    2     1239    -4     3     T
      528  0.1497241E+06  0.57030E+03    2     1241    -4     3     T
      529  0.1502944E+06  0.57030E+03    2     1243    -4     3     T
      530  0.1508647E+06  0.57030E+03    2     1245    -4     3     T
      531  0.1514350E+06  0.57030E+03    2     1247    -4     3     T
      532  0.1519978E+06  0.56275E+03    2     1249    -4     3     T
      533  0.1525605E+06  0.56275E+03    2     1251    -4     3     T
      534  0.1531233E+06  0.56275E+03    2     1253    -4     3     T
      535  0.1536860E+06  0.56275E+03    2     1255    -4     3     T
      536  0.1542488E+06  0.56275E+03    2     1257    -4     3     T
      537  0.1548115E+06  0.56275E+03    2     1259    -4     3     T
      538  0.1553743E+06  0.56275E+03    2     1261    -4     3     T
      539  0.1559370E+06  0.56275E+03    2     1263    -4     3     T
end
