Year,Sor_Yield,Corn_Yield,PCP1,PDSI1,PCP2,PDSI2,PCP3,PDSI3,PCP4,PDSI4,PCP5,PDSI5,PCP6,PDSI6,PCP7,PDSI7,PCP8,PDSI8,PCP9,PDSI9,PCP10,PDSI10,PCP11,PDSI11,PCP12,PDSI12,PCP,DCount,WCount
1994,66.0,40.0,0.44,4.06,0.22,3.56,0.23,2.7,2.18,2.73,1.47,1.75,2.62,1.25,3.93,1.73,3.26,2.0,1.2,1.54,1.69,1.65,0.95,1.58,0.6,1.45,18.79,0,4
1993,64.0,44.6,1.14,2.56,1.97,3.46,1.99,3.8,1.31,3.67,2.8,3.56,4.07,4.35,3.35,5.13,3.54,5.82,1.34,5.47,1.25,5.17,0.56,4.71,0.67,4.43,23.990000000000002,0,4
1992,74.0,39.0,0.89,1.59,0.38,-0.2,0.82,-0.45,0.31,-1.09,2.14,-1.41,5.66,1.27,3.6,1.96,3.72,2.81,0.34,1.87,0.36,1.23,1.85,1.95,0.85,2.15,20.92,0,4
1991,72.0,30.0,0.26,-0.78,0.02,-1.29,1.13,-1.41,1.1,-1.69,3.34,-1.76,2.78,-2.0,2.29,-2.22,2.49,-2.08,0.65,-2.54,1.03,-2.39,1.8,0.8,1.31,1.38,18.199999999999996,4,0
1990,70.0,45.0,1.26,2.12,1.47,2.59,0.99,2.32,2.73,2.76,4.01,3.23,1.49,2.69,4.42,3.54,1.18,-0.36,1.85,-0.28,0.27,-0.72,0.77,-0.8,0.46,-0.7,20.9,0,2
1989,68.0,28.0,0.35,-1.67,0.36,-1.65,0.69,-1.88,0.44,-2.57,4.93,0.53,7.24,2.46,2.04,2.49,3.79,3.26,2.39,3.6,0.15,2.7,0.0,1.92,0.34,1.67,22.72,0,4
1988,70.0,32.0,0.84,-0.06,0.06,-0.36,0.59,-0.6,2.78,0.7,2.44,-0.23,1.22,-1.04,2.47,-1.1,1.23,-1.76,3.28,-0.65,0.39,-1.0,0.23,-1.33,0.03,-1.63,15.559999999999999,4,0
1987,68.0,48.0,0.58,1.16,1.26,1.43,3.08,2.39,0.83,1.95,3.75,2.06,4.0,2.56,2.49,2.65,2.67,2.76,2.19,2.9,0.27,-0.44,0.52,-0.58,0.56,-0.42,22.2,0,4
1986,72.0,62.0,0.0,-0.54,0.42,-0.61,0.38,-1.24,1.38,-1.53,1.02,-2.43,4.12,0.2,3.13,0.09,4.02,0.9,1.81,0.79,1.56,0.95,1.21,1.17,0.6,1.17,19.65,0,4
1985,68.0,70.0,0.64,1.9,0.89,2.09,0.76,1.72,2.29,1.84,1.57,1.03,2.17,0.74,3.11,0.93,2.44,0.93,4.07,2.31,1.94,2.77,0.56,2.59,0.25,-0.09,20.689999999999998,0,4
1984,64.0,37.0,0.51,0.32,0.34,0.03,2.35,0.74,3.97,2.14,2.54,1.98,1.81,1.71,2.67,1.82,1.13,-0.6,0.67,-1.07,3.23,1.27,0.16,0.94,1.7,1.84,21.08,2,2
1983,48.0,33.0,0.51,0.28,1.19,0.68,1.7,0.99,2.03,1.45,3.07,1.68,4.19,2.5,0.34,-0.61,0.65,-1.72,1.22,-2.01,1.35,0.03,1.1,0.17,0.63,0.3,17.980000000000004,3,1
1982,62.0,42.0,0.15,0.4,0.76,0.53,1.25,0.54,0.99,0.33,3.16,0.34,3.53,0.7,3.59,1.05,0.72,-0.94,1.18,-1.23,1.21,-1.08,0.3,-1.24,0.86,0.27,17.7,2,2
1981,68.0,62.0,0.12,-1.88,0.02,-2.18,2.1,-1.72,0.87,-2.27,4.43,-1.48,1.62,-2.1,4.62,0.61,2.14,0.38,2.3,0.6,1.16,0.53,1.77,0.98,0.2,0.69,21.35,1,3
1980,59.0,41.0,1.13,1.67,0.88,1.81,2.8,2.68,2.44,3.12,4.27,3.75,1.47,3.42,1.02,-0.35,2.74,-0.22,0.1,-1.19,0.25,-1.59,0.21,-1.84,0.54,-1.73,17.85,1,1
1979,64.0,53.0,1.03,0.44,0.06,0.1,2.74,0.9,1.48,0.86,4.05,1.42,1.91,1.17,4.69,2.15,2.02,2.0,0.23,0.94,2.62,1.58,0.4,1.37,0.54,1.26,21.77,0,4
1978,57.0,25.0,0.27,-1.42,1.11,-0.9,0.59,-1.15,0.48,-1.73,5.73,1.1,3.99,1.53,1.17,-0.74,1.22,-1.35,1.28,-1.6,0.15,-2.08,1.02,0.16,0.24,-0.16,17.25,3,1
1977,57.0,30.0,0.34,-1.33,0.07,-1.7,0.26,-2.29,3.42,-1.53,4.57,-0.96,1.41,-1.7,2.13,-2.14,4.51,-0.94,1.8,-0.95,0.67,-1.22,0.6,-1.25,0.21,-1.39,19.990000000000006,4,0
1976,42.0,26.0,0.02,-1.55,0.21,-1.84,0.51,-2.04,4.85,1.37,2.93,1.48,0.61,-0.74,1.43,-1.18,1.46,-1.6,2.82,-0.8,0.72,-0.8,0.1,-1.06,0.01,-1.35,15.67,4,0
1975,48.0,26.0,0.18,-0.6,0.49,-0.59,0.78,-0.69,1.59,0.02,4.3,0.49,3.45,0.73,1.09,-0.78,1.82,-1.21,0.25,-1.9,0.01,-2.47,2.24,-1.25,0.15,-1.38,16.349999999999998,3,1
1974,47.0,29.0,0.27,-0.04,0.01,-0.41,1.54,-0.25,0.79,-0.61,1.22,-1.58,2.66,-1.63,1.33,-2.26,3.74,0.75,0.63,-0.41,1.84,-0.08,0.57,-0.23,0.22,-0.39,14.820000000000002,2,1
1973,54.0,59.0,0.62,2.91,0.32,2.56,5.93,4.96,2.09,5.17,1.25,4.37,1.0,3.77,3.81,4.29,1.86,3.82,4.78,5.46,0.77,4.93,0.75,4.47,1.17,4.65,24.35,0,4
1972,62.0,40.0,0.16,-0.14,0.05,-0.46,0.19,-1.14,0.76,-1.63,4.23,0.43,4.18,0.93,3.96,1.51,4.45,2.56,1.91,2.51,0.61,2.0,2.8,3.26,0.34,2.96,23.64,0,4
