"Plot Title: HDT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10694967, SEN S/N: 10694967)","RH, % (LGR S/N: 10694967, SEN S/N: 10694967)","Host Connected (LGR S/N: 10694967)","Stopped (LGR S/N: 10694967)","End Of File (LGR S/N: 10694967)"
1,11/17/18 12:37:17 PM,21.680,29.689,,,
2,11/17/18 12:52:17 PM,34.527,96.867,,,
3,11/17/18 01:07:17 PM,35.404,84.067,,,
4,11/17/18 01:22:17 PM,35.671,79.317,,,
5,11/17/18 01:37:17 PM,35.859,74.078,,,
6,11/17/18 01:52:17 PM,35.832,71.706,,,
7,11/17/18 02:07:17 PM,35.859,70.826,,,
8,11/17/18 02:22:17 PM,35.886,70.477,,,
9,11/17/18 02:37:17 PM,35.967,70.129,,,
10,11/17/18 02:52:17 PM,35.994,70.463,,,
11,11/17/18 03:07:17 PM,35.994,70.909,,,
12,11/17/18 03:22:17 PM,36.021,71.211,,,
13,11/17/18 03:37:17 PM,36.155,71.881,,,
14,11/17/18 03:52:17 PM,36.129,71.776,,,
15,11/17/18 04:07:17 PM,36.075,72.054,,,
16,11/17/18 04:22:17 PM,36.048,72.334,,,
17,11/17/18 04:37:17 PM,36.236,72.424,,,
18,11/17/18 04:52:17 PM,36.209,72.148,,,
19,11/17/18 05:07:17 PM,36.075,72.164,,,
20,11/17/18 05:22:17 PM,36.075,72.843,,,
21,11/17/18 05:37:17 PM,36.209,72.427,,,
22,11/17/18 05:52:17 PM,36.209,72.427,,,
23,11/17/18 06:07:17 PM,34.739,68.324,,,
24,11/17/18 06:22:17 PM,34.132,75.565,,,
25,11/17/18 06:37:17 PM,34.132,74.510,,,
26,11/17/18 06:52:17 PM,34.027,74.585,,,
27,11/17/18 07:07:17 PM,32.880,68.445,,,
28,11/17/18 07:22:17 PM,30.249,78.320,,,
29,11/17/18 07:37:17 PM,30.350,76.672,,,
30,11/17/18 07:52:17 PM,30.149,76.412,,,
31,11/17/18 08:07:17 PM,28.648,71.214,,,
